timestamp_ms,room_temp,ambient_temp,humidity,leak_pct,leak_alert,cooling,valve_pct,power_mW,energy_mWh,sensor_fault
445435,5.98,33.9,40.0,0,0,1,75,9864.0,575216.06,0
446435,5.98,33.9,40.0,0,0,1,75,9864.0,576202.44,0
447435,5.98,33.9,40.0,0,0,1,75,9864.0,577188.81,0
448435,5.98,33.9,40.0,0,0,1,75,9864.0,578175.19,0
449435,5.98,33.9,40.0,0,0,1,75,9864.0,579161.56,0
450435,5.98,34.0,40.0,0,0,1,76,29064.0,582067.94,0
451435,5.98,34.0,40.0,0,0,1,76,9864.0,583054.31,0
452435,5.98,34.0,40.0,0,0,1,76,9864.0,584040.69,0
453435,5.98,34.0,40.0,0,0,1,76,9864.0,585027.06,0
454435,5.99,34.0,40.0,0,0,1,76,9864.0,586013.44,0
455435,5.99,34.1,40.0,0,0,1,76,9864.0,586999.81,0
456435,5.99,34.1,40.0,0,0,1,76,9864.0,587986.19,0
457435,5.99,34.1,40.0,0,0,1,76,9864.0,588972.56,0
458435,5.99,34.1,40.0,0,0,1,76,9864.0,589958.94,0
459435,5.99,34.1,40.0,0,0,1,76,9864.0,590945.31,0
460435,5.99,34.2,40.0,0,0,1,76,29064.0,593851.69,0
461435,5.99,34.2,40.0,0,0,1,76,9864.0,594838.06,0
462435,6.00,34.2,40.0,0,0,1,76,9864.0,595824.44,0
463435,6.00,34.2,40.0,0,0,1,76,9864.0,596810.81,0
464435,6.00,34.2,40.0,0,0,1,76,9864.0,597797.19,0
465435,6.00,34.3,40.0,0,0,1,76,9864.0,598783.56,0
466435,6.00,34.3,40.0,0,0,1,76,9864.0,599769.94,0
467435,6.00,34.3,40.0,0,0,1,76,9864.0,600756.31,0
468435,6.00,34.3,40.0,0,0,1,76,9864.0,601742.69,0
469435,6.00,34.3,40.0,0,0,1,76,9864.0,602729.06,0
470435,6.01,34.4,40.0,0,0,1,77,29064.0,605635.44,0
471435,6.01,34.4,40.0,0,0,1,77,9864.0,606621.81,0
472435,6.01,34.4,40.0,0,0,1,77,9864.0,607608.19,0
473435,6.01,34.4,40.0,0,0,1,77,9864.0,608594.56,0
474435,6.01,34.4,40.0,0,0,1,77,9864.0,609580.94,0
475435,6.01,34.5,40.0,0,0,1,77,9864.0,610567.31,0
476435,6.01,34.5,40.0,0,0,1,77,9864.0,611553.69,0
477435,6.01,34.5,40.0,0,0,1,77,9864.0,612540.06,0
478435,6.01,34.5,40.0,0,0,1,77,9864.0,613526.44,0
479435,6.02,34.5,40.0,0,0,1,77,9864.0,614512.81,0
480435,6.02,34.6,40.0,0,0,1,77,29064.0,617419.19,0
481435,6.02,34.6,40.0,0,0,1,77,9864.0,618405.56,0
482435,6.02,34.6,40.0,0,0,1,77,9864.0,619391.94,0
483435,6.02,34.6,40.0,0,0,1,77,9864.0,620378.31,0
484435,6.02,34.6,40.0,0,0,1,77,9864.0,621364.69,0
485435,6.02,34.7,40.0,0,0,1,77,9864.0,622351.06,0
486435,6.02,34.7,40.0,0,0,1,77,9864.0,623337.44,0
487435,6.03,34.7,40.0,0,0,1,77,9864.0,624323.81,0
488435,6.03,34.7,40.0,0,0,1,77,9864.0,625310.19,0
489435,6.03,34.7,40.0,0,0,1,78,29064.0,628216.56,0
490435,6.03,34.8,40.0,0,0,1,78,9864.0,629202.94,0
491435,6.03,34.8,40.0,0,0,1,78,9864.0,630189.31,0
492435,6.03,34.8,40.0,0,0,1,78,9864.0,631175.69,0
493435,6.03,34.8,40.0,0,0,1,78,9864.0,632162.06,0
494435,6.03,34.8,40.0,0,0,1,78,9864.0,633148.44,0
495435,6.03,34.9,40.0,0,0,1,78,9864.0,634134.81,0
496435,6.04,34.9,40.0,0,0,1,78,9864.0,635121.19,0
497435,6.04,34.9,40.0,0,0,1,78,9864.0,636107.56,0
498435,6.04,34.9,40.0,0,0,1,78,9864.0,637093.94,0
499435,6.04,34.9,40.0,0,0,1,78,29064.0,640000.31,0
500435,6.04,35.0,40.0,0,0,1,78,9864.0,640986.69,0
501435,6.04,35.0,40.0,0,0,1,78,9864.0,641973.06,0
502435,6.04,35.0,40.0,0,0,1,78,9864.0,642959.44,0
503435,6.04,35.0,40.0,0,0,1,78,9864.0,643945.81,0
504435,6.05,35.0,40.0,0,0,1,78,9864.0,644932.19,0
505435,6.05,35.1,40.0,0,0,1,78,9864.0,645918.56,0
